indicator_code,indicator_label,event_record_id,event_name,effect_pp
ACC_OWNERSHIP,Account ownership (Access),EVT_0001,Telebirr Launch,15.0
ACC_OWNERSHIP,Account ownership (Access),EVT_0004,Fayda Digital ID Program Rollout,6.388888888888888
