indicator_code,indicator_label,scenario,year,trend_pred_pp,event_effect_pp,pred_pp,lo_pp,hi_pp,se_pp
ACC_OWNERSHIP,Account ownership (Access),base,2025,54.24137931034511,0.0,54.24137931034511,44.56672224673537,63.91603637395485,4.837328531804873
ACC_OWNERSHIP,Account ownership (Access),base,2026,56.94827586206884,0.0,56.94827586206884,46.710423804906085,67.1861279192316,5.118926028581379
ACC_OWNERSHIP,Account ownership (Access),base,2027,59.65517241379348,0.0,59.65517241379348,48.80374084086606,70.5066039867209,5.425715786463709
ACC_OWNERSHIP,Account ownership (Access),optimistic,2025,56.95344827586237,0.0,56.95344827586237,47.227247100765595,66.67964945095915,4.86310058754839
ACC_OWNERSHIP,Account ownership (Access),optimistic,2026,59.79568965517228,0.0,59.79568965517228,49.509115164879034,70.08226414546553,5.143287245146622
ACC_OWNERSHIP,Account ownership (Access),optimistic,2027,62.63793103448316,0.0,62.63793103448316,51.74052000332874,73.53534206563758,5.448705515577209
ACC_OWNERSHIP,Account ownership (Access),pessimistic,2025,48.8172413793106,0.0,48.8172413793106,38.93802130389706,58.696461454724144,4.939610037706772
ACC_OWNERSHIP,Account ownership (Access),pessimistic,2026,51.253448275861956,0.0,51.253448275861956,40.82207182093753,61.68482473078638,5.215688227462214
ACC_OWNERSHIP,Account ownership (Access),pessimistic,2027,53.689655172414135,0.0,53.689655172414135,42.65545528379847,64.72385506102981,5.517099944307834
USG_ACTIVE_RATE,Active usage rate (Usage proxy),base,2025,66.0,0.0,66.0,55.0,77.0,5.5
USG_ACTIVE_RATE,Active usage rate (Usage proxy),base,2026,66.0,0.0,66.0,53.757359312880716,78.24264068711929,6.121320343559643
USG_ACTIVE_RATE,Active usage rate (Usage proxy),base,2027,66.0,0.0,66.0,52.80384757729337,79.19615242270663,6.598076211353316
USG_ACTIVE_RATE,Active usage rate (Usage proxy),optimistic,2025,69.3,0.0,69.3,58.254638982812736,80.34536101718726,5.522680508593631
USG_ACTIVE_RATE,Active usage rate (Usage proxy),optimistic,2026,69.3,0.0,69.3,57.01658634605556,81.58341365394443,6.141706826972217
USG_ACTIVE_RATE,Active usage rate (Usage proxy),optimistic,2027,69.3,0.0,69.3,56.06601198567468,82.53398801432532,6.616994007162658
USG_ACTIVE_RATE,Active usage rate (Usage proxy),pessimistic,2025,59.4,0.0,59.4,48.219660112501046,70.58033988749895,5.5901699437494745
USG_ACTIVE_RATE,Active usage rate (Usage proxy),pessimistic,2026,59.4,0.0,59.4,46.99507150387764,71.80492849612236,6.2024642480611805
USG_ACTIVE_RATE,Active usage rate (Usage proxy),pessimistic,2027,59.4,0.0,59.4,46.053148732255,72.74685126774499,6.673425633872497
