indicator_code,indicator_label,scenario,year,trend_pred_pp,event_effect_pp,pred_pp,lo_pp,hi_pp,se_pp
ACC_OWNERSHIP,Account ownership (Access),pessimistic,2025,48.8172413793106,7.5,56.3172413793106,45.1296818018847,67.5048009567365,5.59377978871295
ACC_OWNERSHIP,Account ownership (Access),pessimistic,2026,51.253448275861956,9.027777777777779,60.281226053639735,48.08495642597196,72.47749568130752,6.098134813833888
ACC_OWNERSHIP,Account ownership (Access),pessimistic,2027,53.689655172414135,10.694444444444445,64.38409961685858,51.050104463498606,77.71809477021856,6.666997576679987
ACC_OWNERSHIP,Account ownership (Access),base,2025,54.24137931034511,15.0,69.24137931034511,54.963809863886304,83.51894875680391,7.138784723229402
ACC_OWNERSHIP,Account ownership (Access),base,2026,56.94827586206884,18.055555555555557,75.0038314176244,58.73868072388563,91.26898211136316,8.132575346869384
ACC_OWNERSHIP,Account ownership (Access),base,2027,59.65517241379348,21.38888888888889,81.04406130268237,62.55295518505028,99.53516742031445,9.245553058816045
ACC_OWNERSHIP,Account ownership (Access),optimistic,2025,56.95344827586237,18.75,75.70344827586237,59.36745689797367,92.03943965375107,8.16799568894435
ACC_OWNERSHIP,Account ownership (Access),optimistic,2026,59.79568965517228,22.569444444444446,82.36513409961672,63.5128205072622,100.0,9.426156796177263
ACC_OWNERSHIP,Account ownership (Access),optimistic,2027,62.63793103448316,26.73611111111111,89.37404214559427,67.71728362818664,100.0,10.828379258703823
USG_ACTIVE_RATE,Active usage rate (Usage proxy),pessimistic,2025,59.4,1.875,61.275,50.01788419487478,72.53211580512522,5.628557902562609
USG_ACTIVE_RATE,Active usage rate (Usage proxy),pessimistic,2026,59.4,2.2916666666666665,61.69166666666666,49.18344530276552,74.1998880305678,6.254110681950572
USG_ACTIVE_RATE,Active usage rate (Usage proxy),pessimistic,2027,59.4,2.9166666666666665,62.31666666666666,48.81456158852852,75.8187717448048,6.7510525390690725
USG_ACTIVE_RATE,Active usage rate (Usage proxy),base,2025,66.0,3.75,69.75,58.44112627181646,81.05887372818354,5.654436864091773
USG_ACTIVE_RATE,Active usage rate (Usage proxy),base,2026,66.0,4.583333333333333,70.58333333333333,57.927281272296035,83.23938539437063,6.328026030518647
USG_ACTIVE_RATE,Active usage rate (Usage proxy),base,2027,66.0,5.833333333333333,71.83333333333333,58.019859842772846,85.64680682389381,6.9067367452802415
USG_ACTIVE_RATE,Active usage rate (Usage proxy),optimistic,2025,69.3,4.6875,73.9875,62.465060954272744,85.50993904572725,5.761219522863628
USG_ACTIVE_RATE,Active usage rate (Usage proxy),optimistic,2026,69.3,5.729166666666666,75.02916666666667,62.10764613562287,87.95068719771047,6.460760265521898
USG_ACTIVE_RATE,Active usage rate (Usage proxy),optimistic,2027,69.3,7.291666666666666,76.59166666666667,62.40748688338638,90.77584644994695,7.092089891640144
