event_name,ACC_OWNERSHIP,ACC_MM_ACCOUNT,USG_DIGITAL_PAYMENT
Telebirr Launch,15.0,5.516,0.0
M-Pesa Ethiopia Launch,0.0,5.0,0.0
Fayda Digital ID Program Rollout,10.0,0.0,0.0
